Date, Open, High, Low, Close
05/15/18, 3701.20, 3701.20, 3701.20, 3701.20
05/14/18, 3734.02, 3734.02, 3734.02, 3734.02
05/11/18, 3726.25, 3726.25, 3726.25, 3726.25
05/10/18, 3711.43, 3711.43, 3711.43, 3711.43
05/09/18, 3684.53, 3684.53, 3684.53, 3684.53
05/08/18, 3661.06, 3661.06, 3661.06, 3661.06
05/07/18, 3656.40, 3656.40, 3656.40, 3656.40
05/04/18, 3640.95, 3640.95, 3640.95, 3640.95
05/03/18, 3608.16, 3608.16, 3608.16, 3608.16
05/02/18, 3614.74, 3614.74, 3614.74, 3614.74
05/01/18, 3623.77, 3623.77, 3623.77, 3623.77
04/30/18, 3623.14, 3623.14, 3623.14, 3623.14
04/27/18, 3636.46, 3636.46, 3636.46, 3636.46
04/26/18, 3628.06, 3628.06, 3628.06, 3628.06
04/25/18, 3588.82, 3588.82, 3588.82, 3588.82
04/24/18, 3600.65, 3600.65, 3600.65, 3600.65
04/23/18, 3636.55, 3636.55, 3636.55, 3636.55
04/20/18, 3648.03, 3648.03, 3648.03, 3648.03
04/19/18, 3687.61, 3687.61, 3687.61, 3687.61
04/18/18, 3709.39, 3709.39, 3709.39, 3709.39
04/17/18, 3696.87, 3696.87, 3696.87, 3696.87
04/16/18, 3667.03, 3667.03, 3667.03, 3667.03
04/13/18, 3649.85, 3649.85, 3649.85, 3649.85
04/12/18, 3653.62, 3653.62, 3653.62, 3653.62
04/11/18, 3639.23, 3639.23, 3639.23, 3639.23
04/10/18, 3650.48, 3650.48, 3650.48, 3650.48
04/09/18, 3596.95, 3596.95, 3596.95, 3596.95
04/06/18, 3578.75, 3578.75, 3578.75, 3578.75
04/05/18, 3626.87, 3626.87, 3626.87, 3626.87
04/04/18, 3597.86, 3597.86, 3597.86, 3597.86
04/03/18, 3582.41, 3582.41, 3582.41, 3582.41
04/02/18, 3563.75, 3563.75, 3563.75, 3563.75
03/30/18, 3613.51, 3613.51, 3613.51, 3613.51
03/29/18, 3610.34, 3610.34, 3610.34, 3610.34
03/28/18, 3571.58, 3571.58, 3571.58, 3571.58
03/27/18, 3593.90, 3593.90, 3593.90, 3593.90
03/26/18, 3624.38, 3624.38, 3624.38, 3624.38
03/23/18, 3560.26, 3560.26, 3560.26, 3560.26
03/22/18, 3628.61, 3628.61, 3628.61, 3628.61
03/21/18, 3688.27, 3688.27, 3688.27, 3688.27
03/20/18, 3692.93, 3692.93, 3692.93, 3692.93
